subd_id,subd_name,disc_id,x,y
339,Environmental Chemistry,5,263.57828,241.56717
340,Parasitology,1,309.58466,74.44279
341,Dairy Science,10,298.08307,133.42786
342,Water Policy,4,227.15656,113.76617
343,Fish Research,1,257.1885,53.55224
344,Printing,4,197.1246,192.41293
345,Genetics,1,281.46964,75.67164
346,Industrial Chemistry,4,194.5687,188.72636
347,Obesity,12,362.6198,203.47264
348,Literary Criticism,9,483.02795,36.435013
349,Hepatology,3,345.3674,99.0199
350,Physical Therapy; Brain Injury,8,402.8754,181.35324
351,Computational Math,11,149.84026,216.99005
352,World Health Organization,10,325.5591,113.76617
353,Geophysical Science,11,169.64856,219.44775
354,Forensic Medicine,12,425.23962,178.89552
355,Psychiatric Services,12,437.3802,176.4378
356,Software Design and Development,7,130.03195,175.20895
357,Wildlife Management,1,270.60703,57.238808
358,Ocean Coastal Management,4,219.48882,78.12936
359,Database Design & Management,7,124.28115,180.12437
360,Financial Accounting,13,494.88818,129.74129
361,Microbiology Biotechnology,2,290.41534,124.825874
362,Water Utilities,4,218.21086,130.97015
363,Sedimentary Geology,6,230.35144,44.95025
364,Geodesy,6,230.99042,47.40796
365,Surfactants,5,213.73802,255.08458
366,Eye,3,347.9233,191.18408
367,Addictive Behavior,12,429.0735,191.18408
368,Naval Architecture,4,178.59425,142.02985
369,Environmental Microbiology,1,252.07668,60.925373
370,Electronic Imaging,7,137.0607,207.15921
371,Functional Programing,7,128.11502,176.4378
372,Applied Genetics,1,289.1374,83.04478
373,Plant Disease,1,282.7476,78.12936
374,Water Resource,6,234.1853,89.18906
375,Developmental Economics,13,98,129.08232
376,Nuclear Physics,11,179.23323,229.27861
377,International Economics,13,99.388214,134
378,Radiology,3,371.5655,127.283585
379,German Studies,9,486.58148,44.95025
380,Medieval History,9,482.7476,38.80597
381,Philosophy of Education,9,490.41534,27.74627
382,Oceanographic Instrumentation,4,183.0671,149.40298
383,Foreign Policy,13,488.4984,119.910446
384,Gut,3,352.57336,80.35819
385,Microwaves; Radio Frequencies,7,158.78595,229.27861
386,School Psychology,13,450.15976,164.14925
387,Vaccines,10,333.22684,134.65672
388,Environmental Law,13,491.6933,121.139305
389,Mass Spectrometry,5,282.7476,210.84576
390,Psychiatric Nursing,12,425.23962,208.38806
391,Asian Studies,9,484.02557,60.925373
392,Optimization Theory,11,137.69968,225.59204
393,Mathematical Science (Russia),11,137.06654,222.37709
394,Gene Therapy,10,341.53354,137.11443
395,Security; Cryptography,7,135.78275,183.81094
396,Materials Processing,4,189.79416,225.34467
397,Rural Health Care,12,393.29074,247.71144
398,Power Systems,7,145.36742,204.70149
399,Surgical Oncology,3,360.0639,138.34328
400,Chip Design & Manufacturing,7,144.72844,185.0398
401,Sociobiology,1,281.46964,64.61194
402,Molecular Medicine,12,328.754,232.96518
403,Human Resource Management,13,486.58148,142.02985
404,Ecological Modeling,1,262.30032,65.8408
405,Clinical Rehabilitation,3,362.6198,158.00497
406,Metallurgy,4,189.45686,212.07463
407,Ethics,9,484.66455,43.721394
408,Marital & Family Therapy,13,448.88177,162.9204
409,Aerospace,4,164.53674,188.72636
410,Critical Studies,9,484.02557,44.95025
411,Econometrics,13,498.72205,139.57214
412,Neuroscience Methods,8,415.01596,165.37811
413,Mineralogy,6,227.15656,58.467663
414,Trauma,12,384.34506,181.35324
415,Thermal Analysis,5,261.66135,232.96518
416,Solar & Wind Power,4,190.09584,202.24377
417,Ocean Engineering,4,208.6262,126.054726
418,Educational Psychology,13,463.57828,149.40298
419,Mycology,1,273.16293,69.52737
420,Semiotics,9,483.3866,44.95025
421,Dyes & Pigments,4,220.12779,192.41293
422,Drug Safety,3,358.14697,185.0398
423,Molecular Ecology,1,271.88498,57.238808
424,Cytogenetics & Genome Mapping,10,342.8115,138.34328
425,Clinical Psychiatry,12,439.29712,172.75125
426,Paleogeography,6,238.01917,51.09453
427,Water Waste,4,230.99042,107.62189
428,Computer Networks,7,135.14377,186.26866
429,Weed Management,1,254.63258,89.18906
430,User Interface Design,7,135.78275,178.89552
431,Public Policy,13,487.22046,121.139305
432,Liquid Crystals,5,247.60384,232.96518
433,Control Systems,7,138.11415,197.90596
434,Environmental Policy,13,489.1374,128.51244
435,Topology,11,140.62057,220.5824
436,Construction,4,200.95847,167.83582
437,Dams & Tunnels,4,208.6262,139.57214
438,Regional Studies,13,491.05432,129.74129
439,Electrochemical Development,4,183.93231,231.40916
440,Digital Printing,4,201.87378,197.43849
441,Peptides,10,310.8626,144.48756
442,Applied Geophysics,4,215.01598,108.850746
443,Sexually Transmitted Diseases,10,326.83707,137.11443
444,Engineering Education,13,475.07986,143.25871
445,NeuroImmunology,8,390.73483,160.46269
446,Machine Learning,7,121.254166,176.60983
447,Geriatric Nursing,12,399.04153,242.79602
448,Sensors & Actuators,4,191.3738,208.38806
449,Systematics & Evolutionary Microbiology,2,301.27795,108.850746
450,Medical Image Processing,7,143.45049,210.84576
451,Medical Education,12,378.59424,230.50746
452,Magnetic Resonance Imagery,8,378.59424,151.8607
453,Hospital Management,12,386.90097,260
454,Insect Physiology,1,292.97125,62.15423
455,Power Transmission,7,150.47923,205.93034
456,Food Engineering,2,291.6933,137.11443
457,Oral Surgery,12,375.39935,203.47264
458,Computer Systems Theory,7,129.78638,180.665
459,Combustion,4,194.5687,171.52238
460,Dermatological Surgery,3,347.9233,183.81094
461,Wildlife Research,1,271.88498,54.781094
462,Midwifery,12,409.26517,250.16916
463,Physics; Current Developments,11,170.92651,240.3383
464,Pyschiatric & Behavioral Genetics,13,444.40894,160.46269
465,Fractures & Fatigue,4,188.81789,212.07463
466,Emergency Medicine,12,384.34506,198.55722
467,Cross Disciplinary Studies,9,480.4371,39.0809
468,Archeological Science,6,249.52077,38.80597
469,Preventive Medicine,12,388.8179,232.96518
470,Carbon,5,221.40575,223.13432
471,Gynecology Oncology,3,351.7572,148.17413
472,Psychosomatic Medicine,13,445.6869,173.9801
473,Pharmaco Economics,12,373.48242,221.90547
474,Computer Modeling and Animation,7,132.58786,205.93034
475,Medical Practice,12,387.53995,252.62686
476,Cancer Statistics,11,119.808304,192.41293
477,Consciousness,8,431.6294,164.14925
478,Otolyngology; Head Neck,12,376.03833,164.14925
479,Heart Failure; Catheters,3,365.8265,178.67416
480,Wood Components,4,212.46007,202.24377
481,Circuits,7,143.61687,199.27823
482,Friction Lubrication & Wear,4,186.26198,226.82089
483,Superconductor Science,11,170.28754,225.59204
484,Antennae; Mobile Radio,7,154.4725,207.12112
485,Headache,8,390.73483,172.75125
486,Operations Management,13,499.47687,151.31238
487,Fish Biology,1,268.6901,49.865673
488,Social History,9,485.9425,47.40796
489,Consumer Electronics,7,140.25558,193.64178
490,Menopause,3,346.64536,185.0398
491,Chemistry (Russia),5,253.41975,232.55077
492,GeoPolitics,13,485.9425,126.054726
493,Glaciology,6,235.46326,49.865673
494,Medical Libraries,12,390.73483,256.31345
495,Opera,9,483.3866,24.059702
496,Education,13,473.8019,140.801
497,Acoustics,4,184.98402,185.0398
498,Pragmatics & Discourse,13,478.27475,74.44279
499,Reproduction Veterinary,10,319.80832,134.65672
500,Crystallography,5,246.47443,236.04976
501,Applied Math,11,149.20128,214.53233
502,Socio-Cultural Anthropology,9,486.58148,47.40796
503,Poultry Science,10,301.27795,101.477615
504,Artificial Organs,12,371.89,175.72485
505,Physical Therapy; Orthopedic,12,381.15015,186.26866
506,Pulmonary,3,349.84024,158.00497
507,Waste Management,4,187.53993,159.23383
508,Marine Pollution,1,250.79872,60.925373
509,Toxins,5,296.8051,192.41293
510,Hearing Research,8,386.262,151.8607
511,Human Rights,13,485.30353,121.139305
512,Lung Cancer,3,360.0639,144.48756
513,Social Economics,13,499.36102,132.199
514,Carbohydrate Research,5,276.9968,160.46269
515,Biotechnology Bioengineering,2,302.5559,135.88557
516,Rural Studies,13,487.85944,114.995026
517,Electronics,7,160.0639,226.82089
518,Defects & Diffusion in Materials,4,186.90096,235.42288
519,Forensic Science,8,410.54312,183.81094
520,Rangeland Ecology,1,260.3834,64.61194
521,Welding,4,187.53993,228.04974
522,Reliability Engineering,13,112.14057,188.72636
523,Molecular Biology Methods,10,321.08627,123.597015
524,Mammals,1,273.16293,54.781094
525,Impotence,3,361.34186,97.791046
526,Fuzzy Logic,7,135.53897,197.29028
527,Tourism,13,487.85944,143.25871
528,Aquatic Disease,1,278.27475,44.95025
529,Geographic Information Science,6,229.71246,33.89055
530,Hormone Research,3,348.5623,196.0995
531,Public Health,12,365.8147,241.56717
532,Sleep,8,403.51437,161.69154
533,Neurotoxicology,8,399.04153,170.29353
534,Pediatric Research,3,352.39618,173.9801
535,Education Psychological Measures,13,480.83066,180.12437
536,Marketing,13,487.22046,155.54726
537,Clinical Medicine (Romania),3,370.9265,145.71642
538,Green Chemistry,5,250.79872,236.65175
539,Optometry,12,360.70288,207.15921
540,Textile Art,4,216.9329,203.47264
541,Italian Studies,9,484.02557,33.89055
542,Perception Motor Skills,12,397.1246,196.0995
543,World Trade; Law,13,486.58148,111.30846
544,Insects,1,276.9968,53.55224
545,Australian Ecology,1,268.05112,54.781094
546,Paints & Coatings,5,227.79553,240.3383
547,Nursing Theory,12,411.82108,250.16916
548,Crustaceans,1,264.21725,47.40796
549,Laser Surgery,12,358.14697,214.53233
550,Bulk Solid Handling,4,208.6262,133.42786
551,Wetlands,1,262.30032,51.09453
552,GIS (non English),6,234.1853,36.34826
553,Hydraulics,7,161.34186,181.35324
554,Agricultural Environmental Medicine,10,326.1981,135.88557
